word,article,english,example
Viertel,das,add English meaning,CH: Wir wohnen in einem schönen Viertel.
virtuell,,add English meaning,Auf dieser Website kann man an einer virtuellen Stadtrundfahrt teilnehmen.
Virus,der,add English meaning,Ich habe mal wieder einen Virus auf meinem Computer.
Visitenkarte,die,add English meaning,Darf ich Ihnen meine Visitenkarte geben?
Visum,das,add English meaning,Das Visum ist für drei Monate gültig.
Vitamin,das,add English meaning,"Der Arzt sagt, ich soll viele Vitamine essen."
voll,,add English meaning,Die Flasche ist noch ganz voll.
Vollzeit Volleyball,die,add English meaning,Die Vollzeit Volleyball ist heute wichtig.
völlig,,add English meaning,Das halte ich für völlig ausgeschlossen.
von,,add English meaning,Ich komme gerade vom Zahnarzt.
voneinander,,add English meaning,Wir haben lange nichts voneinander gehört.
vor,,add English meaning,Ich bin vor einer Woche zurückgekommen.
vor allem,,add English meaning,"Grüßen Sie alle von mir, vor allem Frau Meier."
voraus,,add English meaning,Gehen Sie schon voraus.
Voraussetzung,die,add English meaning,Gesunde Ernährung ist die Voraussetzung für ein langes Leben.
voraussichtlich,,add English meaning,Der Zug hat voraussichtlich 20 Minuten Verspätung.
vorbei/vorbei vorbereiten,,add English meaning,Die Linie 8 fährt am Krankenhaus vorbei.
Vorbereitung,die,add English meaning,Nächste Woche beginnen wir mit der Vorbereitung für die Prüfung.
vorderdie Vorfahrt,,add English meaning,In den vorderen Reihen sind noch Plätze frei. Achtung! Das Auto rechts hat Vorfahrt!
vorgestern,,add English meaning,Er hat mich vorgestern angerufen.
vorhaben,,add English meaning,Haben Sie morgen Abend schon etwas vor?
vorher,,add English meaning,Ich komme mit ins Café. Vorher muss ich aber noch zur Bank.
vorhin,,add English meaning,Vorhin hat Heidrun angerufen. Du sollst sie zurückrufen.
vorkommen,,add English meaning,Kein Problem. Das kann vorkommen.
vorläufig,,add English meaning,Ich habe noch keine Wohnung. Ich wohne vorläufig bei einem Freund.
vorlesen,,add English meaning,Ich lese meinen Kindern oft etwas vor.
vorn,,add English meaning,Bitte vorn beim Fahrer einsteigen!
vorschlagen,,add English meaning,"Ich schlage vor, dass wir eine Pause machen."
Vorschlag,der,add English meaning,"Ich mache dir einen Vorschlag: Du hilfst mir beim Deutschlernen, und ich lade dich zum Essen ein."
Vorschrift,die,add English meaning,Beachten Sie bitte die Vorschriften für das Benutzen der Bibliothek.
Vorsicht,die,add English meaning,Vorsicht! Der Teller ist heiß.
vorsichtig vorstellen,,add English meaning,So schwierig habe ich mir die Arbeit nicht vorgestellt.
Vorstellung,die,add English meaning,Wann läuft der Film? – Die nächste Vorstellung ist um 15 Uhr.
Vorstellungsgespräch,das,add English meaning,"Wann hast du dein Vorstellungse gespräch? Der Vorteil von dieser Wohnung ist, dass sie direkt im Zentrum liegt."
Vorteil,der,add English meaning,Der Vorteil kommt in der Prüfung vor.
Vortrag,der,add English meaning,Ihr Vortrag war sehr interessant.
Vorwahl,die,add English meaning,Wie ist die Vorwahl von Hamburg?
vorwärts,,add English meaning,Ich kann nicht vorbei. Bitte fahr noch ein Stück vorwärts.
Vorwurf,der,add English meaning,Der Vorwurf steht auf meiner Liste.
waagerecht,,add English meaning,Ziehen Sie bitte einen waagerechten Strich.
wach,,add English meaning,Bist du schon lange wach?
wachsen,,add English meaning,Mein Sohn ist sehr gewachsen. Er ist jetzt schon größer als ich.
Wagen,der,add English meaning,Ich habe meinen Wagen in die Werkstatt gebracht.
Wahl,die,add English meaning,Sie haben die Wahl: mit Vollpension oder Halbpension?
wahnsinnig,,add English meaning,Du fährst viel zu schnell. Bist du wahnsinnig?!
wahr,,add English meaning,"Was ich sage, ist wahr."
Wahrheit,die,add English meaning,Sag mir bitte die Wahrheit. Hast du wieder geraucht?
während,,add English meaning,"Während ich arbeite, höre ich oft Musik."
wahrscheinlich,,add English meaning,Wahrscheinlich mache ich im Herbst noch einen Deutschkurs.
Wald,der,add English meaning,Hinter unserem Haus fängt der Wald an.
Wand,die,add English meaning,Ich stelle das Regal rechts an die Wand.
wandern,,add English meaning,Wir gehen oft wandern.
Wanderung,die,add English meaning,Wir haben in den Ferien eine schöne Wanderung gemacht.
wann,,add English meaning,Ich kann 'wann' in einem Satz benutzen.
Ware,die,add English meaning,Wir liefern Ihnen die Ware direkt ins Haus.
warm,,add English meaning,Hier ist es sehr warm.
Wärme,die,add English meaning,Die Wärme passt gut zu diesem Thema.
warnen,,add English meaning,Ich warne Sie. Der Hund ist gefährlich.
warten,,add English meaning,Können Sie ein paar Minuten warten?
warum,,add English meaning,Warum besuchst du mich nicht?
was,,add English meaning,Dieses Wort heißt 'was'.
was für ein waschen,,add English meaning,Ich habe die Bluse gerade frisch gewaschen.
Wäsche,die,add English meaning,Die Wäsche ist heute wichtig.
Waschmittel,das,add English meaning,Das Waschmittel steht auf meiner Liste.
wechseln,,add English meaning,Können Sie 50 Euro in Kleingeld/in elt Dollar wechseln?
wecken,,add English meaning,Können Sie mich morgen früh um sechs wecken?
Wecker,der,add English meaning,Der Wecker passt gut zu diesem Thema.
weder … noch,,add English meaning,Für Urlaub haben wir weder Zeit noch Geld.
Weg,der,add English meaning,Dieser Weg ist sehr breit und angenehm.
weg/wegwegen,,add English meaning,Meine Handtasche ist weg!
wehtun,,add English meaning,Dieses Wort heißt 'wehtun'.
weiblich,,add English meaning,Kreuzen Sie bitte an: „weiblich“ oder „männlich“.
weich,,add English meaning,Ich möchte zum Frühstück ein weiches Ei.
sich weigern,,add English meaning,Ich weigere mich diese Arbeit zu tun.
weil,,add English meaning,"Ich kann nicht kommen, weil ich krank bin."
Wein,der,add English meaning,In diesem Restaurant gibt es sehr guten Wein.
weinen,,add English meaning,War der Test schwierig? – Teilweise.
weit,,add English meaning,Wie weit ist es noch bis München?
weiter/weiterdie Weiterbildung,,add English meaning,Ich möchte nicht stören. Bitte essen Sie ruhig weiter.
welcher,,add English meaning,Welcher Tag ist heute?
Welt,die,add English meaning,Überall auf der Welt gibt es Probleme.
weltweit,,add English meaning,Ich wiederhole heute 'weltweit'.
wenden,,add English meaning,"Sie müssen zurückfahren, aber hier dürfen Sie nicht wenden."
wenig/wenige,,add English meaning,Essen Sie immer so wenig?
wenigstens,,add English meaning,"Ich habe keinen Hunger. – Ach, essen Sie wenigstens ein Stück Kuchen."
wenn,,add English meaning,"Kommst du zu der Party? Vielleicht, wenn ich nicht arbeiten muss."
wer,,add English meaning,Wer ist das? Kennst du die Frau?
Werbung,die,add English meaning,Ich sehe gern Werbung im Fernsehen.
werden,,add English meaning,Das Verb 'werden' ist wichtig.
werfen,,add English meaning,Die Kinder haben Steine ins Wasser geworfen.
Werk,das,add English meaning,Wir haben gestern das Werk besichtigt.
Werkstatt,die,add English meaning,¨-en Mein Wagen ist zurzeit in der Werkstatt. -e Wir hatten kein Werkzeug für die Reparatur dabei. Das Auto ist vielleicht noch 1000 Euro wert.
Werkzeug,das,add English meaning,Das Werkzeug ist heute wichtig.
wert,,add English meaning,Ich kann 'wert' in einem Satz benutzen.
Wert,der,add English meaning,Das Haus hat einen Wert von ca. 1 Mio. Euro.
wertlos,,add English meaning,'wertlos' kommt in vielen Texten vor.
wertvoll,,add English meaning,Dieses Wort heißt 'wertvoll'.
weshalb,,add English meaning,Weshalb rufst du an?
Wettbewerb,der,add English meaning,Meine Tochter hat bei einem Wettbewerb gewonnen. Sie hat das beste Bild gemalt.
wetten,,add English meaning,"Wir haben gewettet, dass sie wieder zu spät kommt."
Wetter,das,add English meaning,Ich habe Radio gehört. Das Wetter soll schön werden.
Wetterbericht,der,add English meaning,Hast du schon den Wetterbericht gehört?
Wettervorhersage,die,add English meaning,Die Wettervorhersage für morgen: trocken und sonnig.
wichtig,,add English meaning,Die Prüfung ist sehr wichtig für mich.
widersprechen,,add English meaning,Da muss ich Ihnen widersprechen.
wie,,add English meaning,Dieses Wort heißt 'wie'.
wieder/wiederwiederholen,,add English meaning,Wann kommst du wieder?
Wiederholung,die,add English meaning,Eine Wiederholung der Prüfung ist möglich.
wiegen,,add English meaning,Wie viel wiegst du?
wild,,add English meaning,Das ist ein wilder Fluss.
Wiese,die,add English meaning,Vor unserem Haus ist eine Wiese mit Bäumen.
wieso,,add English meaning,Wie lange sind Sie hier? – Wieso fragen Sie?
wie viel,,add English meaning,Wie viel Geld hast du dabei?
willkommen,,add English meaning,Herzlich willkommen in Köln.
Wind,der,add English meaning,Der Wind kommt heute von Westen. windig Es ist heute sehr windig.
windig,,add English meaning,'windig' kommt in vielen Texten vor.
winken,,add English meaning,Alle standen auf dem Bahnsteig und winkten zum Abschied.
wirken,,add English meaning,Die Tabletten haben nicht gewirkt.
Wirkung,die,add English meaning,Die Wirkung steht auf meiner Liste.
wirklich,,add English meaning,Du glaubst mir nicht? Es ist aber wirklich so.
Wirklichkeit,die,add English meaning,Die Wirklichkeit ist ein nützliches Wort.
Wirt,der,add English meaning,Ich kenne die Wirtin von diesem Lokal.
Wirtin,die,add English meaning,Sie ist sehr nett.
Wirtschaft,die,add English meaning,In der Schule lernen die Kinder viel über Wirtschaft und Politik.
wissen,,add English meaning,"Weißt du, wie der Hausmeister heißt?"
Wissen,das,add English meaning,Das Wissen ist ein nützliches Wort.
Wissenschaft,die,add English meaning,Vertreter von Kunst und Wissenschaft treffen sich heute in Berlin.
Wissenschaftler,der,add English meaning,Der Wissenschaftler ist heute wichtig.
Witz,der,add English meaning,Wir haben Witze erzählt und viel gelacht.
wo,,add English meaning,Wo waren Sie im Urlaub?
woher,,add English meaning,Dieses Wort heißt 'woher'.
wohin,,add English meaning,Wohin kommt der Schrank?
wohl,,add English meaning,Kann ich nach Hause gehen? Ich fühle mich nicht wohl.
wohnen,,add English meaning,Wir wohnen in einem alten Haus.
Wohnsitz,der,add English meaning,Er hat einen festen Wohnsitz in dieser Stadt.
Wohnung,die,add English meaning,"Wir suchen eine möblierte Wohnung, möglichst im Zentrum."
Wohnzimmer,das,add English meaning,Wir sitzen im Wohnzimmer und sehen fern. Es sind viele Wolken am Himmel.
bewölkt,,add English meaning,Heute ist es stark bewölkt.
Wolle,die,add English meaning,Dieser Pullover ist aus reiner Wolle.
wollen,,add English meaning,Peter will Arzt werden.
worüber,,add English meaning,Worüber lachen Sie?
worum,,add English meaning,Kann ich Herrn Meier sprechen? – Worum geht es denn?
Wort,das,add English meaning,Ich kenne diese beiden Wörter nicht.
Wörterbuch,das,add English meaning,Ich muss das Wort im Wörterbuch nachschlagen.
Wunde,die,add English meaning,Die Wunde müssen wir sofort verbinden.
Wunder,das,add English meaning,"Ich bin mit dem Fahrrad gestürzt. Es war ein Wunder, dass nichts Schlimmes passiert ist."
wunderschön,,add English meaning,Wir haben einen Ausflug gemacht. Es war wunderschön.
sich wundern,,add English meaning,"Es hat mich gewundert, dass das Essen hier so günstig ist."
Wunsch,der,add English meaning,. Haben Sie sonst noch einen Wunsch? Mit den besten Wünschen für Sie und Ihre Familie.
Zahl,die,add English meaning,Können Sie die Zahl bitte wiederholen?
Wurst,die,add English meaning,Diese Wurst ist mir zu fett.
Anzahl,die,add English meaning,Die Anzahl der Teilnehmer war groß.
wütend,,add English meaning,Warum bist du so wütend?
zahlreich,,add English meaning,Ich kann 'zahlreich' in einem Satz benutzen.
zahlen,,add English meaning,"Herr Ober, zahlen bitte!"
Zahlung,die,add English meaning,Bitte geben Sie bei der Zahlung die Rechnungsnummer an.
zählen,,add English meaning,Bitte zählen Sie das Wechselgeld sofort nach.
Zahn,der,add English meaning,Der Zahn tut mir schon lange weh.
Zahncreme/-pasta,die,add English meaning,Die neue Zahncreme riecht sehr gut.
Zange,die,add English meaning,"Um das Fahrrad zu reparieren, brauchst du eine Zange."
Zeichen,das,add English meaning,Das Zeichen ist ein nützliches Wort.
Verkehrszeichen,das,add English meaning,Meine Kinder lernen in der Schule gerade die Verkehrszeichen. Meine Tochter kann sehr gut zeichnen.
Zeichnung,die,add English meaning,Das ist eine schöne Zeichnung.
zeigen,,add English meaning,Zeig mir bitte deine Hausaufgaben.
Zeile,die,add English meaning,Das Wort steht in der fünften Zeile von oben.
Zeit,die,add English meaning,Ich habe heute keine Zeit.
Zeitpunkt,der,add English meaning,Er ist krank. Das ist kein guter Zeitpunkt für einen Besuch.
Zeitschrift,die,add English meaning,Diese Zeitschrift kaufe ich jede Woche.
Zeitung,die,add English meaning,Ich lese manchmal Zeitung.
Zelt,das,add English meaning,Wir machen Camping-Urlaub und nehmen ein Zelt mit.
zelten,,add English meaning,Ich habe noch nie gezeltet.
zentral,,add English meaning,Wir suchen eine Zweizimmerwohnung in zentraler Lage.
Zentrum,das,add English meaning,Im Zentrum gibt es fast keine Parkplätze.
zerstören,,add English meaning,Der Sturm hat viele Häuser zerstört.
Zertifikat,das,add English meaning,"Wenn ich die Prüfung schaffe, bekomme ich ein Zertifikat."
Zettel,der,add English meaning,Hast du einen Zettel für mich? Ich muss etwas aufschreiben. Was hast du mit meinen Sachen gemacht? – Ich habe dein ganzes Zeug in dein Zimmer getan.
Zeuge,der,add English meaning,Der Zeuge passt gut zu diesem Thema.
Zeugin,die,add English meaning,Die Zeugin ist heute wichtig.
Zeugnis,das,add English meaning,"Wenn Sie die Prüfung schaffen, bekommen Sie ein Zeugnis."
ziehen,,add English meaning,"Sie müssen ziehen, nicht drücken."
Ziel,das,add English meaning,Ich will die Prüfung unbedingt schaffen. Das ist mein Ziel.
ziemlich,,add English meaning,Ich bin schon ziemlich müde. Ich gehe ins Bett.
Zigarette,die,add English meaning,Wie viele Zigaretten rauchst du am Tag?
Zimmer,das,add English meaning,Die Wohnung hat drei Zimmer.
Zirkus,der,add English meaning,Heute gehen wir mit den Kindern in den Zirkus.
Zitrone,die,add English meaning,Ich hätte gern einen Tee mit Zitrone.
Zoll,der,add English meaning,Das war die Passkontrolle. Wir müssen jetzt noch durch den Zoll.
Zone,die,add English meaning,Hier können wir nicht fahren. Das ist eine Fußgängerzone.
Zoo,der,add English meaning,Am Sonntag gehen wir mit den Kindern in den Zoo.
