word,article,english,example
vernünftig,,reasonable; sensible,Seien Sie doch vernünftig!
verpacken,,to pack; to wrap,Hast Du die Pakete gut verpackt?
verpassen,,to miss,Ich habe den Zug verpasst.
verpflegen,,to provide food; to cater,Wir werden hier sehr gut mit Essen verpflegt.
verpflichtet,,obligated; required,"Sie sind verpflichtet, den Unfall zu melden."
verraten,,to reveal; to betray,Wer hat dir das Geheimnis verraten?
verreisen,,to be away; to travel,Frau Dr. Müller ist zurzeit verreist.
verrückt,,crazy,Bist du verrückt geworden?!
Versammlung,die,meeting; assembly,Der Minister hielt bei der Versammlung eine Rede.
versäumen,,to miss; to neglect,"Tut mir leid, ich habe die Anmeldefrist versäumt."
verschieben,,to postpone; to move,Leider muss ich den Termin verschieben.
verschieden,,different; various,Unsere beiden Kinder sind sehr verschieden.
verschreiben,,to prescribe,Die Ärztin hat mir Tabletten verschrieben.
verschwinden,,to disappear,Mein Ausweis ist verschwunden. Hast du ihn vielleicht gesehen?
versichern,,to insure; to assure,Wollen Sie Ihr Gepäck versichern?
Versichertenkarte,die,insurance card,Bitte bringen Sie Ihre Versichertenkarte mit.
Versicherung,die,insurance,Die Versicherung kommt in der Prüfung vor.
Verspätung,die,delay,Unser Zug hatte 10 Minuten Verspätung.
versprechen,,to promise,"Meine Mutter hat mir versprochen, mich abzuholen."
verständlich,,understandable,Ich übe das Wort 'verständlich'.
Verständnis,das,understanding,Vielen Dank für Ihr Verständnis.
versuchen,,to try,Haben Sie es schon mal mit diesem Mittel versucht?
Versuch,der,attempt; experiment,In der Forschung werden viele Versuche gemacht.
verteilen,,to distribute,Kannst du bitte schon mal die Gläser verteilen?
Vertrag,der,contract,Sie beide müssen den Vertrag unterschreiben.
vertrauen,,to trust,Ich kenne dich gut. Ich vertraue dir.
Vertrauen,das,trust,Ich habe Vertrauen zu Ihnen.
vertreten,,to represent; to substitute,"Wer vertritt Sie, wenn Sie Urlaub machen?"
Vertreter,der,representative; substitute,"Als Herr Dr. Müller in Urlaub war, bin ich zu seiner Vertreterin gegangen."
Vertretung,die,substitution; representation,Herr Dr. Meyer macht für mich die Vertretung.
verurteilen,,to sentence; to condemn,Das Gericht hat den Täter zu einer Geldstrafe verurteilt.
Verwaltung,die,administration,Sprechen Sie bitte mit der Verwaltung. Die können Ihnen helfen.
verwandt,,related,Sind Sie mit Frau Meyer verwandt?
Verwandte,der,male relative,Der Verwandte passt gut zu diesem Thema.
Verwandte,die,female relative,Die Verwandte ist heute wichtig.
verwechseln,,to confuse; to mix up,"Entschuldigen Sie, ich habe Sie mit jemandem verwechselt."
verwenden,,to use,Dieses Wort wird oft verwendet.
verzeihen,,to forgive,Das werde ich ihm nie verzeihen können.
verzichten,,to give up; to do without,Ich verzichte heute auf den Kaffee.
Video,das,video,Ich habe den Film auf Video aufgenommen.
viel/viele,,much; many,Ich habe schon viel gelernt.
vielleicht,,maybe; perhaps,Kommst du mit in die Stadt? Ich weiß noch nicht. Vielleicht.
Viertel,das,quarter; neighborhood,CH: Wir wohnen in einem schönen Viertel.
virtuell,,virtual,Auf dieser Website kann man an einer virtuellen Stadtrundfahrt teilnehmen.
Virus,der,virus,Ich habe mal wieder einen Virus auf meinem Computer.
Visitenkarte,die,business card,Darf ich Ihnen meine Visitenkarte geben?
Visum,das,visa,Das Visum ist für drei Monate gültig.
Vitamin,das,vitamin,"Der Arzt sagt, ich soll viele Vitamine essen."
voll,,full,Die Flasche ist noch ganz voll.
Vollzeit,die,full-time,Ich arbeite Vollzeit.
völlig,,completely; entirely,Das halte ich für völlig ausgeschlossen.
von,,from; of,Ich komme gerade vom Zahnarzt.
voneinander,,from each other; about each other,Wir haben lange nichts voneinander gehört.
vor,,before; in front of,Ich bin vor einer Woche zurückgekommen.
vor allem,,above all; especially,"Grüßen Sie alle von mir, vor allem Frau Meier."
voraus,,ahead; in advance,Gehen Sie schon voraus.
Voraussetzung,die,requirement; prerequisite,Gesunde Ernährung ist die Voraussetzung für ein langes Leben.
voraussichtlich,,probably; expected,Der Zug hat voraussichtlich 20 Minuten Verspätung.
vorbei,,past; over,Die Linie 8 fährt am Krankenhaus vorbei.
Vorbereitung,die,preparation,Nächste Woche beginnen wir mit der Vorbereitung für die Prüfung.
vorder-,,front,In den vorderen Reihen sind noch Plätze frei.
vorgestern,,the day before yesterday,Er hat mich vorgestern angerufen.
vorhaben,,to plan; to intend,Haben Sie morgen Abend schon etwas vor?
vorher,,beforehand; earlier,Ich komme mit ins Café. Vorher muss ich aber noch zur Bank.
vorhin,,earlier; just now,Vorhin hat Heidrun angerufen. Du sollst sie zurückrufen.
vorkommen,,to happen; to occur,Kein Problem. Das kann vorkommen.
vorläufig,,temporary; for the time being,Ich habe noch keine Wohnung. Ich wohne vorläufig bei einem Freund.
vorlesen,,to read aloud,Ich lese meinen Kindern oft etwas vor.
vorn,,at the front,Bitte vorn beim Fahrer einsteigen!
vorschlagen,,to suggest,"Ich schlage vor, dass wir eine Pause machen."
Vorschlag,der,suggestion; proposal,"Ich mache dir einen Vorschlag: Du hilfst mir beim Deutschlernen, und ich lade dich zum Essen ein."
Vorschrift,die,rule; regulation,Beachten Sie bitte die Vorschriften für das Benutzen der Bibliothek.
Vorsicht,die,caution; care,Vorsicht! Der Teller ist heiß.
vorstellen,,to imagine; to introduce,So schwierig habe ich mir die Arbeit nicht vorgestellt.
Vorstellung,die,show; performance; idea,Wann läuft der Film? – Die nächste Vorstellung ist um 15 Uhr.
Vorstellungsgespräch,das,job interview,Wann hast du dein Vorstellungsgespräch?
Vorteil,der,advantage,Der Vorteil kommt in der Prüfung vor.
Vortrag,der,lecture; talk,Ihr Vortrag war sehr interessant.
Vorwahl,die,area code,Wie ist die Vorwahl von Hamburg?
vorwärts,,forward,Ich kann nicht vorbei. Bitte fahr noch ein Stück vorwärts.
Vorwurf,der,accusation; reproach,Der Vorwurf steht auf meiner Liste.
waagerecht,,horizontal,Ziehen Sie bitte einen waagerechten Strich.
wach,,awake,Bist du schon lange wach?
wachsen,,to grow,Mein Sohn ist sehr gewachsen. Er ist jetzt schon größer als ich.
Wagen,der,car; wagon,Ich habe meinen Wagen in die Werkstatt gebracht.
Wahl,die,choice; election,Sie haben die Wahl: mit Vollpension oder Halbpension?
wahnsinnig,,crazy; insanely,Du fährst viel zu schnell. Bist du wahnsinnig?!
wahr,,true,"Was ich sage, ist wahr."
Wahrheit,die,truth,Sag mir bitte die Wahrheit. Hast du wieder geraucht?
während,,during; while,"Während ich arbeite, höre ich oft Musik."
wahrscheinlich,,probably,Wahrscheinlich mache ich im Herbst noch einen Deutschkurs.
Wald,der,forest,Hinter unserem Haus fängt der Wald an.
Wand,die,wall,Ich stelle das Regal rechts an die Wand.
wandern,,to hike,Wir gehen oft wandern.
Wanderung,die,hike,Wir haben in den Ferien eine schöne Wanderung gemacht.
wann,,when,Ich kann 'wann' in einem Satz benutzen.
Ware,die,goods; merchandise,Wir liefern Ihnen die Ware direkt ins Haus.
warm,,warm,Hier ist es sehr warm.
Wärme,die,warmth,Die Wärme passt gut zu diesem Thema.
warnen,,to warn,Ich warne Sie. Der Hund ist gefährlich.
warten,,to wait,Können Sie ein paar Minuten warten?
warum,,why,Warum besuchst du mich nicht?
was,,what,Dieses Wort heißt 'was'.
waschen,,to wash,Ich habe die Bluse gerade frisch gewaschen.
Wäsche,die,laundry,Die Wäsche ist heute wichtig.
Waschmittel,das,detergent,Das Waschmittel steht auf meiner Liste.
wechseln,,to change; to exchange,Können Sie 50 Euro in Kleingeld oder Dollar wechseln?
wecken,,to wake,Können Sie mich morgen früh um sechs wecken?
Wecker,der,alarm clock,Der Wecker passt gut zu diesem Thema.
weder … noch,,neither ... nor,Für Urlaub haben wir weder Zeit noch Geld.
Weg,der,way; path; road,Dieser Weg ist sehr breit und angenehm.
weg,,gone; away,Meine Handtasche ist weg!
wehtun,,to hurt,Dieses Wort heißt 'wehtun'.
weiblich,,female; feminine,Kreuzen Sie bitte an: „weiblich“ oder „männlich“.
weich,,soft,Ich möchte zum Frühstück ein weiches Ei.
sich weigern,,to refuse,Ich weigere mich diese Arbeit zu tun.
weil,,because,"Ich kann nicht kommen, weil ich krank bin."
Wein,der,wine,In diesem Restaurant gibt es sehr guten Wein.
weinen,,to cry,Das Kind weint.
weit,,far; wide,Wie weit ist es noch bis München?
weiter,,further; continue,Ich möchte nicht stören. Bitte essen Sie ruhig weiter.
welcher,,which,Welcher Tag ist heute?
Welt,die,world,Überall auf der Welt gibt es Probleme.
weltweit,,worldwide,Ich wiederhole heute 'weltweit'.
wenden,,to turn; to apply to,"Sie müssen zurückfahren, aber hier dürfen Sie nicht wenden."
wenig/wenige,,little; few,Essen Sie immer so wenig?
wenigstens,,at least,"Ich habe keinen Hunger. – Ach, essen Sie wenigstens ein Stück Kuchen."
wenn,,if; when,"Kommst du zu der Party? Vielleicht, wenn ich nicht arbeiten muss."
wer,,who,Wer ist das? Kennst du die Frau?
Werbung,die,advertising,Ich sehe gern Werbung im Fernsehen.
werden,,to become; will,Das Verb 'werden' ist wichtig.
werfen,,to throw,Die Kinder haben Steine ins Wasser geworfen.
Werk,das,factory; work,Wir haben gestern das Werk besichtigt.
Werkstatt,die,workshop; repair shop,Mein Wagen ist zurzeit in der Werkstatt.
Werkzeug,das,tool,Das Werkzeug ist heute wichtig.
wert,,worth,Ich kann 'wert' in einem Satz benutzen.
Wert,der,value,Das Haus hat einen Wert von ca. 1 Mio. Euro.
wertlos,,worthless,'wertlos' kommt in vielen Texten vor.
wertvoll,,valuable,Dieses Wort heißt 'wertvoll'.
weshalb,,why; for what reason,Weshalb rufst du an?
Wettbewerb,der,competition,Meine Tochter hat bei einem Wettbewerb gewonnen. Sie hat das beste Bild gemalt.
wetten,,to bet,"Wir haben gewettet, dass sie wieder zu spät kommt."
Wetter,das,weather,Ich habe Radio gehört. Das Wetter soll schön werden.
Wetterbericht,der,weather report,Hast du schon den Wetterbericht gehört?
Wettervorhersage,die,weather forecast,Die Wettervorhersage für morgen: trocken und sonnig.
wichtig,,important,Die Prüfung ist sehr wichtig für mich.
widersprechen,,to contradict,Da muss ich Ihnen widersprechen.
wie,,how; like,Dieses Wort heißt 'wie'.
wieder,,again,Wann kommst du wieder?
Wiederholung,die,repetition; repeat,Eine Wiederholung der Prüfung ist möglich.
wiegen,,to weigh,Wie viel wiegst du?
wild,,wild,Das ist ein wilder Fluss.
Wiese,die,meadow,Vor unserem Haus ist eine Wiese mit Bäumen.
wieso,,why; how come,Wie lange sind Sie hier? – Wieso fragen Sie?
wie viel,,how much; how many,Wie viel Geld hast du dabei?
willkommen,,welcome,Herzlich willkommen in Köln.
Wind,der,wind,Der Wind kommt heute von Westen.
windig,,windy,'windig' kommt in vielen Texten vor.
winken,,to wave,Alle standen auf dem Bahnsteig und winkten zum Abschied.
wirken,,to work; to have an effect,Die Tabletten haben nicht gewirkt.
Wirkung,die,effect,Die Wirkung steht auf meiner Liste.
wirklich,,really; actual,Du glaubst mir nicht? Es ist aber wirklich so.
Wirklichkeit,die,reality,Die Wirklichkeit ist ein nützliches Wort.
Wirt,der,innkeeper; landlord,Ich kenne die Wirtin von diesem Lokal.
Wirtin,die,female innkeeper; landlady,Sie ist sehr nett.
Wirtschaft,die,economy; business,In der Schule lernen die Kinder viel über Wirtschaft und Politik.
wissen,,to know,"Weißt du, wie der Hausmeister heißt?"
Wissen,das,knowledge,Das Wissen ist ein nützliches Wort.
Wissenschaft,die,science,Vertreter von Kunst und Wissenschaft treffen sich heute in Berlin.
Wissenschaftler,der,scientist,Der Wissenschaftler ist heute wichtig.
Witz,der,joke,Wir haben Witze erzählt und viel gelacht.
wo,,where,Wo waren Sie im Urlaub?
woher,,where from,Dieses Wort heißt 'woher'.
wohin,,where to,Wohin kommt der Schrank?
wohl,,well; comfortable,Kann ich nach Hause gehen? Ich fühle mich nicht wohl.
wohnen,,to live; to reside,Wir wohnen in einem alten Haus.
Wohnsitz,der,residence,Er hat einen festen Wohnsitz in dieser Stadt.
Wohnung,die,apartment; flat,"Wir suchen eine möblierte Wohnung, möglichst im Zentrum."
Wohnzimmer,das,living room,Wir sitzen im Wohnzimmer und sehen fern.
bewölkt,,cloudy,Heute ist es stark bewölkt.
Wolle,die,wool,Dieser Pullover ist aus reiner Wolle.
wollen,,to want,Peter will Arzt werden.
worüber,,about what; over what,Worüber lachen Sie?
worum,,what it is about,Kann ich Herrn Meier sprechen? – Worum geht es denn?
Wort,das,word,Ich kenne diese beiden Wörter nicht.
Wörterbuch,das,dictionary,Ich muss das Wort im Wörterbuch nachschlagen.
Wunde,die,wound,Die Wunde müssen wir sofort verbinden.
Wunder,das,miracle; wonder,"Ich bin mit dem Fahrrad gestürzt. Es war ein Wunder, dass nichts Schlimmes passiert ist."
wunderschön,,wonderful; beautiful,Wir haben einen Ausflug gemacht. Es war wunderschön.
sich wundern,,to wonder; to be surprised,"Es hat mich gewundert, dass das Essen hier so günstig ist."
Wunsch,der,wish,Haben Sie sonst noch einen Wunsch?
Zahl,die,number,Können Sie die Zahl bitte wiederholen?
Wurst,die,sausage,Diese Wurst ist mir zu fett.
Anzahl,die,number; amount,Die Anzahl der Teilnehmer war groß.
wütend,,angry; furious,Warum bist du so wütend?
zahlreich,,numerous,Ich kann 'zahlreich' in einem Satz benutzen.
zahlen,,to pay,"Herr Ober, zahlen bitte!"
Zahlung,die,payment,Bitte geben Sie bei der Zahlung die Rechnungsnummer an.
zählen,,to count,Bitte zählen Sie das Wechselgeld sofort nach.
Zahn,der,tooth,Der Zahn tut mir schon lange weh.
Zahncreme/-pasta,die,toothpaste,Die neue Zahncreme riecht sehr gut.
Zange,die,pliers; tongs,"Um das Fahrrad zu reparieren, brauchst du eine Zange."
Zeichen,das,sign; mark,Das Zeichen ist ein nützliches Wort.
Verkehrszeichen,das,traffic sign,Meine Kinder lernen in der Schule gerade die Verkehrszeichen.
Zeichnung,die,drawing,Das ist eine schöne Zeichnung.
zeigen,,to show,Zeig mir bitte deine Hausaufgaben.
Zeile,die,line,Das Wort steht in der fünften Zeile von oben.
Zeit,die,time,Ich habe heute keine Zeit.
Zeitpunkt,der,point in time,Er ist krank. Das ist kein guter Zeitpunkt für einen Besuch.
Zeitschrift,die,magazine,Diese Zeitschrift kaufe ich jede Woche.
Zeitung,die,newspaper,Ich lese manchmal Zeitung.
Zelt,das,tent,Wir machen Camping-Urlaub und nehmen ein Zelt mit.
zelten,,to camp,Ich habe noch nie gezeltet.
zentral,,central,Wir suchen eine Zweizimmerwohnung in zentraler Lage.
Zentrum,das,center,Im Zentrum gibt es fast keine Parkplätze.
zerstören,,to destroy,Der Sturm hat viele Häuser zerstört.
Zertifikat,das,certificate,"Wenn ich die Prüfung schaffe, bekomme ich ein Zertifikat."
Zettel,der,note; slip of paper,Hast du einen Zettel für mich? Ich muss etwas aufschreiben.
Zeuge,der,witness,Der Zeuge passt gut zu diesem Thema.
Zeugin,die,female witness,Die Zeugin ist heute wichtig.
Zeugnis,das,certificate; report card,"Wenn Sie die Prüfung schaffen, bekommen Sie ein Zeugnis."
ziehen,,to pull; to move,"Sie müssen ziehen, nicht drücken."
Ziel,das,goal; destination,Ich will die Prüfung unbedingt schaffen. Das ist mein Ziel.
ziemlich,,quite; rather,Ich bin schon ziemlich müde. Ich gehe ins Bett.
Zigarette,die,cigarette,Wie viele Zigaretten rauchst du am Tag?
Zimmer,das,room,Die Wohnung hat drei Zimmer.
Zirkus,der,circus,Heute gehen wir mit den Kindern in den Zirkus.
Zitrone,die,lemon,Ich hätte gern einen Tee mit Zitrone.
Zoll,der,customs; inch,Das war die Passkontrolle. Wir müssen jetzt noch durch den Zoll.
Zone,die,zone,Hier können wir nicht fahren. Das ist eine Fußgängerzone.
Zoo,der,zoo,Am Sonntag gehen wir mit den Kindern in den Zoo.
zu,,to; too; closed,Ich bringe Sie zum Bahnhof.
zubereiten,,to prepare,Sie bereitet das Fleisch mit Kartoffeln zu.
Zucker,der,sugar,Nehmen Sie Zucker in den Tee?
zuerst,,first; at first,Wer war zuerst? – Der Herr hier.
Zufall,der,coincidence,"So ein Zufall, dass ich dich hier treffe."
zufällig,,by chance; accidental,Wir haben uns zufällig am Bahnhof getroffen.
zufrieden,,satisfied,Meine Kinder haben heute Zeugnisse bekommen. Ich bin zufrieden.
Zugang,der,access; entrance,Der Zugang zu diesem Haus ist schwierig.
zugänglich,,accessible,Der Park ist für alle zugänglich.
Zug,der,train; move,Unser Zug hatte 40 Minuten Verspätung.
zugehen,,to close; to approach,Die Tür geht nicht zu. Kannst du mir helfen?
Zuhause,das,home,Ich fühle mich hier wohl. Das ist mein Zuhause.
zuhören,,to listen,Hör mir doch mal zu!
Zukunft,die,future,Du musst mehr für die Schule lernen. Denk an die Zukunft.
zukünftig,,future; future-oriented,"Ich bitte dich, zukünftig früher zu kommen."
zuletzt,,last; finally,Die Kleider packen wir zuletzt ein.
zumachen,,to close,Mach bitte die Tür zu!
